5117, E 7 STREET and MAIN STREET, KANSAS CITY, MO, 64105
5118, E 7 STREET and WALNUT STREET, KANSAS CITY, MO, 64109
5119, E 70 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64132
5120, E 72 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131
5121, E 73 STREET and BALES AVENUE, KANSAS CITY, MO, 64132
5122, E 73 STREET and BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64131
5123, E 73 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64132
5124, E 73 STREET and PASEO, KANSAS CITY, MO, 64134
5125, E 73 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
5126, E 75 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO,
5127, E 75 STREET and MONROE AVENUE, KANSAS CITY, MO, 64130
5128, E 75 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
5129, E 75 STREET and WALNUT STREET, KANSAS CITY, MO, 64132
5130, E 75 TERRACE and MANCHESTER TRAFFICWAY, KANSAS CITY, MO, 64132
5131, E 76 STREET and TROOST AVENUE, KANSAS CITY, MO, 64132
5132, E 77 STREET and HOLMES ROAD, KANSAS CITY, MO, 64130
5133, E 77 STREET and HOLMES ROAD, KANSAS CITY, MO, 64132
5134, E 77 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64130
5135, E 77 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64130
5136, E 77 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64131
5137, E 79 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
5138, E 79 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64130
5139, E 7TH STREET and NORTON AVENUE, KANSAS CITY, MO, 64124
5140, E 8 STREET and CHARLOTTE STREET, KANSAS CITY, MO, 64106
5141, E 8 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64124
5142, E 8 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
5143, E 8 STREET and NORTON AVENUE, KANSAS CITY, MO, 64126
5144, E 8 STREET and WABASH AVENUE, KANSAS CITY, MO, 64124
5145, E 80 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64132
5146, E 80 STREET and PASEO, KANSAS CITY, MO, 64132
5147, E 80 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64131
5148, E 80 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
5149, E 80 STREET and TROOST AVENUE, KANSAS CITY, MO, 64132
5150, E 80 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64132
5151, E 80 TERRACE and JAMES A REED ROAD, KANSAS CITY, MO, 64138
5152, E 81 STREET and PASEO, KANSAS CITY, MO, 64131
5153, E 82 PL and TROOST AVENUE, KANSAS CITY, MO, 64131
5154, E 82 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64132
5155, E 82 STREET and LYDIA AVENUE, KANSAS CITY, MO, 64131
5156, E 82 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64131
5157, E 82 TERRACE and TROOST AVENUE, KANSAS CITY, MO, 64132
5158, E 83 STREET and OAK STREET, KANSAS CITY, MO, 64110
5159, E 83 STREET and TROOST AVENUE, KANSAS CITY, MO, 64132
5160, E 84 STREET and PASEO, KANSAS CITY, MO, 64131
5161, E 84 STREET and WABASH AVENUE, KANSAS CITY, MO, 64132
5162, E 84 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64131
5163, E 85 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64131
5164, E 85 STREET and HOLMES ROAD, KANSAS CITY, MO,
5165, E 85 STREET and HOLMES ROAD, KANSAS CITY, MO, 64114
5166, E 85 STREET and PASEO, KANSAS CITY, MO, 64130
5167, E 85 STREET and PASEO, KANSAS CITY, MO, 64131
5168, E 85 STREET and TROOST AVENUE, KANSAS CITY, MO, 64114
5169, E 85 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64132
5170, E 87 STREET and DRURY AVENUE, KANSAS CITY, MO, 64132
5171, E 87 STREET and HILLCREST ROAD, KANSAS CITY, MO, 64137
5172, E 87 STREET and I 435 HIGHWAY NE, KANSAS CITY, MO, 64134
5173, E 87 STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64130
5174, E 87 STREET and I-435, KANSAS CITY, MO, 64138
5175, E 87 STREET and NEWTON AVENUE, KANSAS CITY, MO, 64134
5176, E 87 STREET and NEWTON AVENUE, KANSAS CITY, MO, 64138
5177, E 87 STREET and OLD SANTA FE ROAD, KANSAS CITY, MO, 64138
5178, E 89 TERRACE and HUNTER AVENUE, KANSAS CITY, MO, 64138
5179, E 9 STREET and BALES COURT, KANSAS CITY, MO, 64109
5180, E 9 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64127
5181, E 9 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64127
5182, E 9 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64124
5183, E 9 STREET and ELMWOOD AVENUE, KANSAS CITY, MO,
5184, E 9 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64126
5185, E 9 STREET and HOLMES STREET, KANSAS CITY, MO, 64106
5186, E 9 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64124
5187, E 9 STREET and MYRTLE AVENUE, KANSAS CITY, MO, 64124
5188, E 9 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64124
5189, E 9 STREET and TROOST AVENUE, KANSAS CITY, MO, 64108
5190, E 9 STREET and WINNER ROAD, KANSAS CITY, MO, 64127
5191, E 91 TERRACE and STARK AVENUE, KANSAS CITY, MO, 64134
5192, E 95 TERRACE and BELMONT AVENUE, KANSAS CITY, MO, 64134
5193, E 96 STREET and HOLMES ROAD, KANSAS CITY, MO, 64131
5194, E 96 TERRACE and JAMES A REED ROAD, KANSAS CITY, MO, 64134
5195, E 97 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64134
5196, E 97 TERRACE and WALLACE AVENUE, KANSAS CITY, MO, 64134
5197, E 98 STREET and WILLOW AVENUE, KANSAS CITY, MO, 64134
5198, E ARMOUR BOULEVARD and CHERRY STREET, KANSAS CITY, MO, 64110
5199, E ARMOUR BOULEVARD and HOLMES STREET, KANSAS CITY, MO, 64110
5200, E ARMOUR BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64130
5201, E ARMOUR BOULEVARD and MCGEE STREET, KANSAS CITY, MO, 64111
5202, E ARMOUR BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64114
5203, E ARMOUR BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64124
5204, E ARMOUR BOULEVARD and WARWICK BOULEVARD, KANSAS CITY, MO, 64111
5205, E BANNISTER ROAD and BELMONT AVENUE, KANSAS CITY, MO, 64134
5206, E BANNISTER ROAD and BLUE RIDGE BOULEVARD, KANSAS CITY, MO, 64130
5207, E BANNISTER ROAD and BLUE RIVER ROAD, KANSAS CITY, MO, 64131
5208, E BANNISTER ROAD and HILLCREST ROAD, KANSAS CITY, MO, 64134
5209, E BANNISTER ROAD and I 435 HIGHWAY, KANSAS CITY, MO, 64131
5210, E BANNISTER ROAD and I 435 HIGHWAY, KANSAS CITY, MO, 64138
5211, E BANNISTER ROAD and LYDIA AVENUE, KANSAS CITY, MO, 64131
5212, E BANNISTER ROAD and MANCHESTER AVENUE, KANSAS CITY, MO, 64134
5213, E BANNISTER ROAD and SPRING VALLEY ROAD, KANSAS CITY, MO, 64138
5214, E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64130
5215, E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64138
5216, E FRONT STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64127
5217, E GREGORY BOULEVARD and HOLMES ROAD, KANSAS CITY, MO, 64130
5218, E GREGORY BOULEVARD and MANCHESTER AVENUE, KANSAS CITY, MO, 64138
5219, E GREGORY BOULEVARD and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
5220, E GREGORY BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64132
5221, E INDEPENDENCE AVENUE and N PARK AVENUE, INDEPENDENCE, MO,
5222, E LINWOOD BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64120
5223, E LINWOOD BOULEVARD and OLIVE STREET, KANSAS CITY, MO, 64109
5224, E LINWOOD BOULEVARD and PARK AVENUE, KANSAS CITY, MO, 64109
5225, E LINWOOD BOULEVARD and PASEO, KANSAS CITY, MO, 64110
5226, E LINWOOD BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64108
5227, E LINWOOD BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64123
5228, E LINWOOD BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64108
5229, E LINWOOD BOULEVARD and WAYNE AVENUE, KANSAS CITY, MO, 64109
5230, E LINWOOD BOULEVARD and WAYNE AVENUE, KANSAS CITY, MO, 64130
5231, E MEYER BOULEVARD and PARK AVENUE, KANSAS CITY, MO, 64132
5232, E MEYER BOULEVARD and PASEO, KANSAS CITY, MO,
5233, E MEYER BOULEVARD and PASEO, KANSAS CITY, MO, 64110
5234, E MEYER BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO,
5235, E MEYER BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64130
5236, E MEYER BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64110
5237, E MEYER BOULEVARD SIDE STREET S and SWOPE PK, KANSAS CITY, MO, 64130
5238, E RED BRIDGE ROAD and US HIGHWAY 71 FRONTAGE ROAD, KANSAS CITY, MO, 64134
