1197, 1900 E 69 TERRACE, KANSAS CITY, MO, 64131
1198, 200 E 97 STREET, KANSAS CITY, MO, 64131
1199, 200 W 6TH, KANSAS CITY, MO, 64105
1200, 2000 E 23 STREET, KANSAS CITY, MO, 64127
1201, 2000 NE 107 TERRACE, KANSAS CITY, MO, 64155
1202, 2100 BROADWAY BOULEVARD, KANSAS CITY, MO, 64108
1203, 2200 E 75 STREET, KANSAS CITY, MO, 64131
1204, 2200 NW BARRY ROAD, KANSAS CITY, MO, 64155
1205, 2300 E 85 STREET, KANSAS CITY, MO, 64131
1206, 2300 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
1207, 2400 NE 43 STREET, KANSAS CITY, MO, 64117
1208, 2400 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
1209, 2500 WOODLAND AVENUE, KANSAS CITY, MO, 64109
1210, 2600 DENVER AVENUE, KANSAS CITY, MO, 64128
1211, 2600 POPLAR AVENUE, KANSAS CITY, MO, 64128
1212, 2700 ASKEW AVENUE, KANSAS CITY, MO, 64130
1213, 2700 CLEVELAND AVENUE, KANSAS CITY, MO, 64127
1214, 2700 OLIVE STREET, KANSAS CITY, MO, 64127
1215, 2700 QUINCY AVENUE, KANSAS CITY, MO, 64127
1216, 2800 MYRTLE AVENUE, KANSAS CITY, MO, 64127
1217, 2800 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
1218, 2800 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64128
1219, 2800 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64130
1220, 2900 E 77 TERRACE, KANSAS CITY, MO, 64132
1221, 2900 OLIVE STREET, KANSAS CITY, MO, 64127
1222, 300 JACKSON AVENUE, KANSAS CITY, MO, 64123
1223, 300 MAPLE STREET, HOLT, MO, 64124
1224, 300 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
1225, 3000 CHELSEA AVENUE, KANSAS CITY, MO, 64127
1226, 3000 KENSINGTON AVENUE, KANSAS CITY, MO, 64127
1227, 3000 LISTER AVENUE, KANSAS CITY, MO, 64127
1228, 3000 MONTGALL AVENUE, KANSAS CITY, MO, 64127
1229, 3000 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64116
1230, 3100 PARK AVENUE, KANSAS CITY, MO, 64127
1231, 3100 POPLAR AVENUE, KANSAS CITY, MO, 64127
1232, 3100 TROOST AVENUE, KANSAS CITY, MO, 64110
1233, 3300 AGNES AVENUE, KANSAS CITY, MO, 64130
1234, 3300 BENTON BOULEVARD, KANSAS CITY, MO, 64127
1235, 3300 GARFIELD AVENUE, KANSAS CITY, MO, 64127
1236, 3300 MERSINGTON AVENUE, KANSAS CITY, MO, 64130
1237, 3300 WABASH AVENUE, KANSAS CITY, MO, 64130
1238, 3400 E 106 TERRACE, KANSAS CITY, MO, 64137
1239, 3500 CLEVELAND AVENUE, KANSAS CITY, MO, 64127
1240, 3500 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1241, 3500 N ANTIOCH ROAD, KANSAS CITY, MO, 64117
1242, 3500 N MAIN STREET, KANSAS CITY, MO, 64118
1243, 3600 AGNES AVENUE, KANSAS CITY, MO, 64127
1244, 3600 NORTON AVENUE, KANSAS CITY, MO, 64130
1245, 3600 WABASH AVENUE, KANSAS CITY, MO, 64127
1246, 3600 WOODLAND AVENUE, KANSAS CITY, MO, 64130
1247, 3700 BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64127
1248, 3700 BENTON BOULEVARD, KANSAS CITY, MO, 64130
1249, 3700 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1250, 3700 INDIANA AVENUE, KANSAS CITY, MO, 64130
1251, 3800 BLUE RIDGE COURT, KANSAS CITY, MO, 64134
1252, 3800 E TRUMAN ROAD, KANSAS CITY, MO, 64126
1253, 3800 MERSINGTON AVENUE, KANSAS CITY, MO, 64130
1254, 3900 CHELSEA STREET, KANSAS CITY, MO, 64128
1255, 3900 E 9 STREET, KANSAS CITY, MO, 64127
1256, 3900 FLORA AVENUE, KANSAS CITY, MO, 64109
1257, 3900 RAYTOWN ROAD, KANSAS CITY, MO, 64128
1258, 3900 TOPPING AVENUE, KANSAS CITY, MO, 64129
1259, 3900 WABASH AVENUE, KANSAS CITY, MO, 64109
1260, 400 CYPRESS AVENUE, KANSAS CITY, MO, 64123
1261, 400 E MINOR DR, KANSAS CITY, MO, 64114
1262, 400 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
1263, 400 VOLKER BOULEVARD, KANSAS CITY, MO, 64110
1264, 4000 BALES AVENUE, KANSAS CITY, MO, 64128
1265, 4000 E 70 TERRACE, KANSAS CITY, MO, 64132
1266, 4000 EUCLID AVENUE, KANSAS CITY, MO, 64124
1267, 4000 OAKLEY AVENUE, KANSAS CITY, MO, 64127
1268, 4100 COLLEGE AVENUE, KANSAS CITY, MO, 64128
1269, 4100 HIGHLAND AVENUE, KANSAS CITY, MO, 64109
1270, 4100 N BELLEFONTAINE AVENUE, KANSAS CITY, MO, 64119
