1760, 6700 PASEO, KANSAS CITY, MO, 64131
1761, 6800 ASKEW AVENUE, KANSAS CITY, MO, 64130
1762, 6800 E 97 STREET, KANSAS CITY, MO, 64138
1763, 6800 SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
1764, 6800 WILSON AVENUE, KANSAS CITY, MO, 64124
1765, 6900 AGNES AVENUE, KANSAS CITY, MO, 64130
1766, 700 CLEVELAND AVENUE, KANSAS CITY, MO, 64127
1767, 7000 CHESTNUT AVENUE, KANSAS CITY, MO, 64130
1768, 7000 PROSPECT AVENUE, KANSAS CITY, MO, 64130
1769, 7100 E 111 TERRACE, KANSAS CITY, MO, 64138
1770, 7100 E TRUMAN ROAD, KANSAS CITY, MO, 64127
1771, 7100 NW 86 TERRACE, KANSAS CITY, MO, 64154
1772, 7100 NW BARRY ROAD, KANSAS CITY, MO, 64154
1773, 7100 PARK ROAD, KANSAS CITY, MO, 64129
1774, 7300 AGNES AVENUE, KANSAS CITY, MO, 64130
1775, 7300 E 88 TERRACE, KANSAS CITY, MO, 64138
1776, 7300 PARK ROAD, KANSAS CITY, MO, 64130
1777, 7400 E 115 TERRACE, KANSAS CITY, MO,
1778, 7600 E 85 TERRACE, KANSAS CITY, MO, 64132
1779, 7700 BROOKLYN AVENUE, KANSAS CITY, MO, 64130
1780, 7700 WORNALL ROAD, KANSAS CITY, MO, 64113
1781, 7800 STATE LINE ROAD, KANSAS CITY, MO, 64114
1782, 800 SPRUCE AVENUE, KANSAS CITY, MO, 64123
1783, 8000 EUCLID AVENUE, KANSAS CITY, MO, 64131
1784, 8000 WORNALL ROAD, KANSAS CITY, MO, 64131
1785, 8300 E 23 STREET, KANSAS CITY, MO, 64126
1786, 8500 N CHURCH ROAD, KANSAS CITY, MO,
1787, 8500 WILSON AVENUE, KANSAS CITY, MO, 64125
1788, 8600 E 29 TERRACE, KANSAS CITY, MO, 64129
1789, 8700 E 110 TERRACE, KANSAS CITY, MO, 64134
1790, 8900 NE 109 TERRACE, KANSAS CITY, MO, 64157
1791, 8900 STATE LINE ROAD, KANSAS CITY, MO, 64114
1792, 900 E 29 STREET, KANSAS CITY, MO, 64109
1793, 900 VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64127
1794, 9200 NE MO 152 HIGHWAY, KANSAS CITY, MO,
1795, 9300 N OAK TRAFFICWAY, KANSAS CITY, MO, 64118
1796, 9400 OLMSTEAD ROAD, KANSAS CITY, MO, 64134
1797, 9800 STATE LINE ROAD, KANSAS CITY, MO, 64114
1798, AVILA CI and W MINOR DR, KANSAS CITY, MO, 64114
1799, BELLAIRE AVENUE and WILSON AVENUE, KANSAS CITY, MO, 64126
1800, BELLEFONTAINE AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64123
1801, BENTON PL and E TRUMAN ROAD, KANSAS CITY, MO, 64127
1802, BLUE RIDGE COURT and I 70 HIGHWAY, KANSAS CITY, MO, 64133
1803, BLUE RIDGE COURT and RAYTOWN ROAD, KANSAS CITY, MO,
1804, BOOTH AVENUE and RUSKIN WAY, KANSAS CITY, MO, 64134
1805, BROOKLYN AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64109
1806, BROOKLYN AVENUE and MINNIE STREET, KANSAS CITY, MO, 64106
1807, CENTRAL STREET and NICHOLS ROAD, KANSAS CITY, MO, 64106
1808, CLEVELAND AVENUE and E TRUMAN ROAD, KANSAS CITY, MO, 64127
1809, DRURY AVENUE and HARDESTY AVENUE, KANSAS CITY, MO, 64137
1810, E 10 STREET and CHERRY STREET, KANSAS CITY, MO, 64106
1811, E 10 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64126
1812, E 107 STREET and SKILES AVENUE, KANSAS CITY, MO, 64134
1813, E 114 STREET and SYCAMORE TERRACE, KANSAS CITY, MO, 64134
1814, E 12 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
1815, E 12 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64127
1816, E 12 STREET and PASEO, KANSAS CITY, MO, 64108
1817, E 12 STREET and WALNUT STREET, KANSAS CITY, MO, 64106
1818, E 13 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
1819, E 17 STREET and MAIN STREET, KANSAS CITY, MO, 64108
1820, E 18 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64126
1821, E 20 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
1822, E 20 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64127
1823, E 22 STREET and BRIGHTON AVENUE, KANSAS CITY, MO, 64127
1824, E 22 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64127
1825, E 23 STREET and KENSINGTON AVENUE, KANSAS CITY, MO, 64127
1826, E 23 TRAFFICWAY and WHEELING AVENUE, KANSAS CITY, MO, 64127
1827, E 27 STREET and BALES AVENUE, KANSAS CITY, MO, 64127
1828, E 29 STREET and VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64130
1829, E 3 STREET and GRAND BOULEVARD, KANSAS CITY, MO, 64105
1830, E 30 STREET and AGNES AVENUE, KANSAS CITY, MO, 64128
1831, E 33 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127
1832, E 34 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130
1833, E 34 STREET and FOREST AVENUE, KANSAS CITY, MO, 64109
1834, E 34 STREET and OLIVE STREET, KANSAS CITY, MO, 64109
1835, E 34 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64128
1836, E 34 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO,
1837, E 35 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64109
1838, E 35 STREET and PASEO, KANSAS CITY, MO, 64109
1839, E 36 STREET and CHERRY STREET, KANSAS CITY, MO, 64109
1840, E 37 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
1841, E 38 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64130
1842, E 38 STREET and PITTMAN ROAD, KANSAS CITY, MO, 64133
1843, E 38 STREET and WABASH AVENUE, KANSAS CITY, MO, 64109
1844, E 39 STREET and BENTON BOULEVARD, KANSAS CITY, MO, 64130
1845, E 39 STREET and BRUCE R WATKINS DR, KANSAS CITY, MO, 64111
1846, E 39 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64110
1847, E 39 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64111
1848, E 39 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
1849, E 40 STREET and WARWICK BOULEVARD, KANSAS CITY, MO, 64111
1850, E 43 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64129
1851, E 43 STREET and OAK STREET, KANSAS CITY, MO, 64111
1852, E 43 STREET and TROOST AVENUE, KANSAS CITY, MO, 64123
1853, E 43 STREET and WOODLAND AVENUE, KANSAS CITY, MO, 64110
1854, E 47 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64130
1855, E 5 STREET and MAIN STREET, KANSAS CITY, MO, 64105
1856, E 54 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64130
1857, E 57 STREET and BROOKLYN AVENUE, KANSAS CITY, MO, 64130
1858, E 59 STREET and PASEO, KANSAS CITY, MO, 64130
1859, E 6 STREET and HARDESTY AVENUE, KANSAS CITY, MO, 64126
1860, E 65 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
1861, E 67 STREET and MONROE AVENUE, KANSAS CITY, MO, 64132
1862, E 69 STREET and AGNES AVENUE, KANSAS CITY, MO, 64132
1863, E 7 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64124
1864, E 73 STREET and AGNES AVENUE, KANSAS CITY, MO, 64132
1865, E 75 STREET and PASEO, KANSAS CITY, MO, 64131
1866, E 75 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
1867, E 8 STREET and OLIVE STREET, KANSAS CITY, MO, 64124
1868, E 82 STREET and TROOST AVENUE, KANSAS CITY, MO, 64130
1869, E 85 STREET and HICKMAN MILLS DR, KANSAS CITY, MO, 64132
1870, E 86 STREET and CRYSTAL AVENUE, KANSAS CITY, MO, 64130
1871, E 89 STREET and WAYNE AVENUE, KANSAS CITY, MO, 64131
1872, E 96 STREET and FREMONT AVENUE, KANSAS CITY, MO, 64134
1873, E 99 STREET and BELMONT AVENUE, KANSAS CITY, MO, 64138
1874, E ARMOUR BOULEVARD and CHARLOTTE STREET, KANSAS CITY, MO, 64109
1875, E ARMOUR BOULEVARD and HARRISON STREET, KANSAS CITY, MO, 64109
1876, E BANNISTER ROAD and DRURY AVENUE, KANSAS CITY, MO, 64130
1877, E BANNISTER ROAD and US HIGHWAY 71, KANSAS CITY, MO, 64137
1878, E GREGORY BOULEVARD and I 435 HIGHWAY, KANSAS CITY, MO, 64130
1879, E GREGORY BOULEVARD and TROOST AVENUE, KANSAS CITY, MO, 64131
1880, E LINWOOD BOULEVARD and PROSPECT AVENUE, KANSAS CITY, MO, 64130
1881, E LINWOOD BOULEVARD and WALROND AVENUE, KANSAS CITY, MO, 64128
1882, E MEYER BOULEVARD and SWOPE PK, KANSAS CITY, MO, 64132
1883, EASTWOOD TFWY TO I 4 RA and I 435 HIGHWAY, KANSAS CITY, MO, 64129
1884, ELMWOOD AVENUE and THOMPSON AVENUE, KANSAS CITY, MO, 64123
1885, EMANUEL CLEAVER II BOULEVARD and OAK STREET, KANSAS CITY, MO, 64130
1886, EMANUEL CLEAVER II BOULEVARD and PASEO, KANSAS CITY, MO, 64111
1887, FRONT STREET and E RIVERFRONT DR, KANSAS CITY, MO, 64106
1888, GILLHAM ROAD and HARRISON PK, KANSAS CITY, MO, 64110
1889, GUINOTTE AVENUE and N MICHIGAN AVENUE, KANSAS CITY, MO, 64106
1890, HIGHLAND AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64124
1891, HOLMES ROAD and E MEYER BOULEVARD, KANSAS CITY, MO, 64130
1892, I 435 HIGHWAY and NE M 210 HIGHWAY, KANSAS CITY, MO, 64119
1893, I 470 HIGHWAY and RAYTOWN ROAD, KANSAS CITY, MO, 64134
1894, INDEPENDENCE AVENUE and OAKLEY AVENUE, KANSAS CITY, MO, 64124
1895, INDEPENDENCE AVENUE and WOODLAND AVENUE, KANSAS CITY, MO, 64127
1896, JACKSON AVENUE and SMART AVENUE, KANSAS CITY, MO, 64124
1897, MAIN STREET and W TRUMAN ROAD, KANSAS CITY, MO, 64108
1898, MILL STREET and WESTPORT ROAD, KANSAS CITY, MO,
1899, MONROE AVENUE and ROBERTS STREET, KANSAS CITY, MO, 64127
1900, N AMBASSADOR DR and NW BARRY ROAD, KANSAS CITY, MO, 64154
1901, N ANTIOCH ROAD and NE VIVION ROAD, KANSAS CITY, MO, 64117
1902, N BRIGHTON AVENUE and I 35 HIGHWAY, KANSAS CITY, MO, 64119
1903, N BRIGHTON AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64117
1904, N CHOUTEAU TRAFFICWAY and NE VIVION ROAD, KANSAS CITY, MO, 64119
1905, N CORRINGTON AVENUE and NE PARVIN ROAD, KANSAS CITY, MO, 64119
1906, N GOWER AVENUE and NW WAUKOMIS DR, KANSAS CITY, MO, 64151
1907, NE 43 STREET and N ANTIOCH ROAD, KANSAS CITY, MO, 64116
1908, NE 48 STREET and I 435 HIGHWAY, KANSAS CITY, MO, 64119
1909, NE 48 STREET and N OAKLEY AVENUE, KANSAS CITY, MO, 64119
1910, NE 52 and N MANCHSTER, KANSAS CITY, MO, 64119
1911, NE 53 STREET and NE SAN RAFAEL DR, KANSAS CITY, MO, 64113
1912, NE MO 152 HIGHWAY and MAPLEWOODS PK, KANSAS CITY, MO, 64156
1913, NW 64 STREET and I 29 HIGHWAY, KANSAS CITY, MO, 64151
1914, NW 67 STREET and N GOWER AVENUE, KANSAS CITY, MO, 64151
1915, NW ENGLEWOOD ROAD and N SUMMIT STREET, KANSAS CITY, MO, 64118
1916, OAKLEY AVENUE and STREET JOHN AVENUE, KANSAS CITY, MO, 64124
1917, RED BRIDGE ROAD and N 71 HIGHWAY, KANSAS CITY, MO, 64134
1918, ROANOKE ROAD and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111
1919, SOUTHWEST BOULEVARD and SUMMIT STREET, KANSAS CITY, MO, 64108
1920, W 10 STREET and SUMMIT STREET, KANSAS CITY, MO, 64106
1921, W 20 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64110
1922, W 20 STREET and SOUTHWEST BOULEVARD, KANSAS CITY, MO, 64108
1923, W 23 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64108
1924, W 27 STREET and SOUTHWEST TF, KANSAS CITY, MO, 64108
1925, W 32 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111
1926, W 35 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
1927, W 36 STREET and CENTRAL STREET, KANSAS CITY, MO, 64111
1928, W 37 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO,
1929, W 38 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64111
1930, W 4 STREET and BROADWAY, KANSAS CITY, MO, 64105
1931, W 42 STREET and GENESSEE STREET, KANSAS CITY, MO, 64111
1932, W 43 STREET and MADISON AVENUE, KANSAS CITY, MO, 64111
1933, W 45 STREET and BELLEVIEW AVENUE, KANSAS CITY, MO, 64111
1934, W 46 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
1935, W 6 STREET and BROADWAY, KANSAS CITY, MO, 64106
1936, W 9 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
1937, W ARMOUR BOULEVARD and BROADWAY BOULEVARD, KANSAS CITY, MO, 64111
1938, WESTPORT ROAD and WYANDOTTE STREET, KANSAS CITY, MO, 64111
1939, 100 ARROWHEAD DR, KANSAS CITY, MO, 64138
1940, 100 ASKEW AVENUE, KANSAS CITY, MO, 64127
1941, 100 E 103 STREET, KANSAS CITY, MO, 64114
1942, 100 E 106 STREET, KANSAS CITY, MO, 64114
1943, 100 E 110 STREET, KANSAS CITY, MO, 64114
1944, 100 E 113 TERRACE, KANSAS CITY, MO, 64114
1945, 100 E 135 STREET, KANSAS CITY, MO, 64145
1946, 100 E 3 STREET, KANSAS CITY, MO, 64106
1947, 100 E 5 STREET, KANSAS CITY, MO, 64106
1948, 100 E 50 STREET, KANSAS CITY, MO, 64112
1949, 100 E 53 STREET, KANSAS CITY, MO, 64112
1950, 100 E 57 STREET, KANSAS CITY, MO, 64113
1951, 100 E 65 TERRACE, KANSAS CITY, MO, 64113
1952, 100 E 89 STREET, KANSAS CITY, MO, 64131
1953, 100 EMANUEL CLEAVER II BOULEVARD, KANSAS CITY, MO, 64106
1954, 100 N BRYANT STREET, CLAYCOMO, MO, 64155
1955, 100 N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64124
1956, 100 NE 109 TERRACE, KANSAS CITY, MO, 64155
1957, 100 NE 110 TERRACE, KANSAS CITY, MO, 64155
1958, 100 NE 79 TERRACE, KANSAS CITY, MO, 64118
1959, 100 NW 132 STREET, KANSAS CITY, MO, 64155
1960, 100 NW 38 STREET, KANSAS CITY, MO, 64116
1961, 100 NW 83 STREET, KANSAS CITY, MO, 64118
1962, 100 NW 88 STREET, KANSAS CITY, MO, 64155
1963, 100 NW BARRY ROAD, KANSAS CITY, MO, 64118
1964, 100 ROYAL WAY, KANSAS CITY, MO, 64127
1965, 100 W 109 TERRACE, KANSAS CITY, MO, 64114
1966, 100 W 114 TERRACE, KANSAS CITY, MO, 64114
1967, 100 W 135 STREET, KANSAS CITY, MO, 64145
1968, 100 W 3 STREET, KANSAS CITY, MO, 64105
1969, 100 W 39 STREET, KANSAS CITY, MO, 64110
1970, 100 W 63 STREET, KANSAS CITY, MO, 64113
1971, 100 W 74 STREET, KANSAS CITY, MO, 64114
1972, 100 W 77 STREET, KANSAS CITY, MO, 64114
1973, 100 W 78 STREET, KANSAS CITY, MO, 64114
1974, 100 W 85 STREET, KANSAS CITY, MO, 64114
1975, 100 W 91 TERRACE, KANSAS CITY, MO, 64114
1976, 100 W BRIDLESPUR TERRACE, KANSAS CITY, MO, 64114
1977, 100 W PERSHING ROAD, KANSAS CITY, MO, 64130
1978, 100 W WINTHROPE ROAD, KANSAS CITY, MO, 64113
1979, 100 W. PERSHING ROAD, KANSAS CITY, MO, 64108
1980, 100 W. PERSHING, KANSAS CITY, MO, 64108
1981, 1000 AVENIDA CESAR E. CHA, KANSAS CITY, MO, 64108
1982, 1000 E 83 TERRACE, KANSAS CITY, MO, 64132
1983, 1000 FRONT STREET, KANSAS CITY, MO, 64105
1984, 1000 FRONT STREET, KANSAS CITY, MO, 64106
1985, 1000 GARFIELD AVENUE, KANSAS CITY, MO, 64109
1986, 1000 PASEO, KANSAS CITY, MO, 64109
1987, 10000 WALNUT STREET, KANSAS CITY, MO,
1988, 10100 W 119 STREET, OVERLAND PARK, MO, 66213
1989, 10200 NW TRANSCON DR, KANSAS CITY, MO, 64153
1990, 10200 WORNALL ROAD, KANSAS CITY, MO, 64131
1991, 10400 E 42 STREET, KANSAS CITY, MO, 64130
1992, 10500 N AMBASSADOR DR, KANSAS CITY, MO, 64154
1993, 10600 E 43 STREET, KANSAS CITY, MO, 64130
1994, 10600 E 98 TERRACE, KANSAS CITY, MO, 64138
1995, 10600 STATE LINE ROAD, KANSAS CITY, MO,
1996, 10700 HICKMAN MILLS DR, KANSAS CITY, MO, 64134
1997, 10900 BLUE RIVER ROAD, KANSAS CITY, MO, 64137
1998, 10900 STATE LINE ROAD, KANSAS CITY, MO, 64114
1999, 1100 E 67 STREET, KANSAS CITY, MO, 64132
2000, 1100 E 81 STREET, KANSAS CITY, MO, 64132
