13176, W 34 STREET and SOUTHWEST TRAFFICWAY, KANSAS CITY, MO, 64111
13177, W 34 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
13178, W 35 TERRACE and TERRACE STREET, KANSAS CITY, MO, 64111
13179, W 36 AVENUE and STATE LINE ROAD, KANSAS CITY, MO, 64111
13180, W 36 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64110
13181, W 36 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64111
13182, W 36 STREET and CENTRAL STREET, KANSAS CITY, MO, 64109
13183, W 36 STREET and GENESSEE STREET, KANSAS CITY, MO, 64111
13184, W 36 STREET and SUMMIT STREET, KANSAS CITY, MO, 64111
13185, W 36 STREET and WYOMING STREET, KANSAS CITY, MO, 64111
13186, W 37 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64111
13187, W 37 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64133
13188, W 37 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64109
13189, W 37 STREET and SUMMIT STREET, KANSAS CITY, MO, 64111
13190, W 37 STREET and WYOMING STREET, KANSAS CITY, MO, 64110
13191, W 38 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64132
13192, W 38 STREET and JEFFERSON STREET, KANSAS CITY, MO, 64111
13193, W 38 STREET and ROANOKE ROAD, KANSAS CITY, MO, 64111
13194, W 39 STREET and BALTIMORE AVENUE, KANSAS CITY, MO, 64127
13195, W 39 STREET and BELL STREET, KANSAS CITY, MO, 64108
13196, W 39 STREET and BELL STREET, KANSAS CITY, MO, 64110
13197, W 39 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO,
13198, W 39 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64114
13199, W 39 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64119
13200, W 39 STREET and BROADWAY BOULEVARD, KANSAS CITY, MO, 64130
13201, W 39 STREET and GENESSEE STREET, KANSAS CITY, MO, 64111
13202, W 39 STREET and MAIN STREET, KANSAS CITY, MO, 64109
13203, W 39 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64130
13204, W 39 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 66111
13205, W 39 STREET and STATE LINE ROAD, KANSAS CITY, MO, 64111
13206, W 39 STREET and STATE LINE ROAD, KANSAS CITY, MO, 64114
13207, W 39 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64106
13208, W 39 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64109
13209, W 39 STREET and WYOMING STREET, KANSAS CITY, MO, 64109
13210, W 39 STREET and WYOMING STREET, KANSAS CITY, MO, 64110
13211, W 39 TERRACE and BROADWAY BOULEVARD, KANSAS CITY, MO, 64109
13212, W 39 TERRACE and WASHINGTON STREET, KANSAS CITY, MO, 64110
13213, W 4 STREET and BROADWAY, KANSAS CITY, MO, 64106
13214, W 4 STREET and DELAWARE STREET, KANSAS CITY, MO, 64108
13215, W 4 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64105
13216, W 4 STREET and WYANDOTTE STREET, KANSAS CITY, MO, 64106
13217, W 40 STREET and MERCIER STREET, KANSAS CITY, MO, 64111
13218, W 40 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64112
13219, W 40 TER and CENTRAL STREET, KANSAS CITY, MO, 64110
13220, W 40 TERRACE and CLARK AVENUE, KANSAS CITY, MO, 64109
13221, W 40 TERRACE and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64106
13222, W 41 PL and ROANOKE ROAD, KANSAS CITY, MO, 64111
13223, W 41 STREET and BROADWAY, KANSAS CITY, MO, 64109
13224, W 42 STREET and BROADWAY, KANSAS CITY, MO, 64116
13225, W 42 STREET and CLARK AVENUE, KANSAS CITY, MO, 64111
13226, W 42 STREET and MILL STREET, KANSAS CITY, MO, 64108
13227, W 42 STREET and STATE LINE ROAD, KANSAS CITY, MO, 64111
13228, W 42 STREET and TERRACE STREET, KANSAS CITY, MO, 64111
13229, W 42 STREET and WYOMING STREET, KANSAS CITY, MO, 64111
13230, W 43 STREET and BROADWAY, KANSAS CITY, MO, 64112
13231, W 43 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64111
13232, W 44 STREET and GENESSEE STREET, KANSAS CITY, MO, 64111
13233, W 44 STREET and JARBOE STREET, KANSAS CITY, MO, 64106
13234, W 44 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64111
13235, W 44 STREET and WYOMING STREET, KANSAS CITY, MO, 64111
13236, W 45 STREET and BROADWAY, KANSAS CITY, MO, 64111
13237, W 45 STREET and HOLLY STREET, KANSAS CITY, MO, 64111
13238, W 45 STREET and MADISON AVENUE, KANSAS CITY, MO, 64106
13239, W 45 STREET and ROANOKE PK, KANSAS CITY, MO, 64111
13240, W 45 STREET and SUMMIT STREET, KANSAS CITY, MO,
13241, W 45 STREET and SUMMIT STREET, KANSAS CITY, MO, 64111
13242, W 46 STREET and BELLEVIEW AVENUE, KANSAS CITY, MO, 64111
13243, W 46 STREET and BROADWAY, KANSAS CITY, MO, 64111
13244, W 46 STREET and BROADWAY, KANSAS CITY, MO, 64112
13245, W 46 STREET and HOLLY STREET, KANSAS CITY, MO, 64111
13246, W 46 STREET and PENNSYLVANIA AVENUE, KANSAS CITY, MO, 64112
13247, W 46 STREET and SUMMIT STREET, KANSAS CITY, MO, 64111
13248, W 46 STREET and TERRACE STREET, KANSAS CITY, MO, 64112
13249, W 46 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64109
13250, W 46 STREET and WASHINGTON STREET, KANSAS CITY, MO, 64111
