11130, E 36 STREET and COLLEGE AVENUE, KANSAS CITY, MO, 64128
11131, E 36 STREET and ELMWOOD AVENUE, KANSAS CITY, MO, 64130
11132, E 36 STREET and HARRISON BOULEVARD, KANSAS CITY, MO, 64109
11133, E 36 STREET and HOLMES STREET, KANSAS CITY, MO, 64111
11134, E 36 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64124
11135, E 36 STREET and INDIANA AVENUE, KANSAS CITY, MO, 64128
11136, E 36 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130
11137, E 36 STREET and LOCUST STREET, KANSAS CITY, MO,
11138, E 36 STREET and MAIN STREET, KANSAS CITY, MO, 64109
11139, E 36 STREET and OLIVE STREET, KANSAS CITY, MO, 64103
11140, E 36 STREET and PASEO, KANSAS CITY, MO, 64110
11141, E 36 STREET and PASEO, KANSAS CITY, MO, 64111
11142, E 36 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64128
11143, E 36 STREET and TOPPING AVENUE, KANSAS CITY, MO, 64123
11144, E 36 STREET and TROOST AVENUE, KANSAS CITY, MO, 64109
11145, E 36 STREET and WABASH AVENUE, KANSAS CITY, MO, 64127
11146, E 36 STREET and WALNUT STREET, KANSAS CITY, MO, 64109
11147, E 36 STREET and WALNUT STREET, KANSAS CITY, MO, 64111
11148, E 37 STREET and AGNES AVENUE, KANSAS CITY, MO,
11149, E 37 STREET and AGNES AVENUE, KANSAS CITY, MO, 64129
11150, E 37 STREET and CHESTNUT AVENUE, KANSAS CITY, MO, 64109
11151, E 37 STREET and CLEVELAND AVENUE, KANSAS CITY, MO, 64126
11152, E 37 STREET and CYPRESS AVENUE, KANSAS CITY, MO, 64130
11153, E 37 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64109
11154, E 37 STREET and GARFIELD AVENUE, KANSAS CITY, MO, 64127
11155, E 37 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64109
11156, E 37 STREET and GILLHAM ROAD, KANSAS CITY, MO, 64110
11157, E 37 STREET and HIGHLAND AVENUE, KANSAS CITY, MO, 64109
11158, E 37 STREET and JACKSON AVENUE, KANSAS CITY, MO, 64130
11159, E 37 STREET and LISTER AVENUE, KANSAS CITY, MO, 64128
11160, E 37 STREET and MAIN STREET, KANSAS CITY, MO, 64127
11161, E 37 STREET and MONTGALL AVENUE, KANSAS CITY, MO,
11162, E 37 STREET and MONTGALL AVENUE, KANSAS CITY, MO, 64128
11163, E 37 STREET and OLIVE STREET, KANSAS CITY, MO, 64130
11164, E 37 STREET and PASEO, KANSAS CITY, MO, 64110
11165, E 37 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64109
11166, E 37 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64127
11167, E 37 STREET and PROSPECT AVENUE, KANSAS CITY, MO, 64146
11168, E 37 STREET and SOUTH BENTON AVENUE, KANSAS CITY, MO, 64130
11169, E 37 STREET and VINEYARD ROAD, KANSAS CITY, MO, 64130
11170, E 37 STREET and WABASH AVENUE, KANSAS CITY, MO, 64108
11171, E 37 STREET and WABASH AVENUE, KANSAS CITY, MO, 64109
11172, E 37 STREET and WABASH AVENUE, KANSAS CITY, MO, 64130
11173, E 37 STREET and WALNUT STREET, KANSAS CITY, MO, 64111
11174, E 37 STREET and WARWICK BOULEVARD, KANSAS CITY, MO, 64111
11175, E 38 STREET and AGNES AVENUE, KANSAS CITY, MO, 64130
