12217, FRONT STREET and RIVER FRONT ROAD, KANSAS CITY, MO, 64120
12218, FULLER AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO,
12219, FULLER AVENUE and PEERY AVENUE, KANSAS CITY, MO, 64125
12220, GARDNER AVENUE and N MONROE AVENUE, KANSAS CITY, MO, 64123
12221, GARFIELD AVENUE and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64111
12222, GARFIELD AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64109
12223, GARFIELD AVENUE and LEXINGTON AVENUE, KANSAS CITY, MO, 64124
12224, GARFIELD AVENUE and MINNIE STREET, KANSAS CITY, MO, 64128
12225, GENESSEE STREET and I 670 HIGHWAY, KANSAS CITY, MO, 64102
12226, GENESSEE STREET and I 670 HIGHWAY, KANSAS CITY, MO, 64108
12227, GENESSEE STREET and I 670 HIGHWAY, KANSAS CITY, MO, 64109
12228, GENESSEE STREET and STREET LOUIS AVENUE, KANSAS CITY, MO, 64108
12229, GENESSEE STREET TO I 670 RA and I 670 HIGHWAY RA, KANSAS CITY, MO, 64106
12230, GILLHAM PL and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64108
12231, GILLHAM PL and E LINWOOD BOULEVARD, KANSAS CITY, MO, 64110
12232, GILLHAM PL and GILLHAM ROAD, KANSAS CITY, MO, 64111
12233, GLADSTONE AVENUE and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64127
12234, GLADSTONE BLVD AT STREET JOHN, KANSAS CITY, MO, 64124
12235, GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64109
12236, GLADSTONE BOULEVARD and INDEPENDENCE AVENUE, KANSAS CITY, MO, 64132
12237, GLADSTONE BOULEVARD and N LAWN AVENUE, KANSAS CITY, MO, 64123
12238, GLADSTONE BOULEVARD and N VAN BRUNT BOULEVARD, KANSAS CITY, MO, 64123
12239, GLADSTONE BOULEVARD and THOMPSON AVENUE, KANSAS CITY, MO, 64124
12240, GRAND BOULEVARD and E MISSOURI AVENUE, KANSAS CITY, MO,
12241, GRAND BOULEVARD and E MISSOURI AVENUE, KANSAS CITY, MO, 64106
12242, GRAND BOULEVARD and E MISSOURI AVENUE, KANSAS CITY, MO, 64109
12243, GRAND BOULEVARD and E PERSHING ROAD, KANSAS CITY, MO, 64108
12244, GRAND BOULEVARD and E PERSHING ROAD, KANSAS CITY, MO, 64110
12245, GRAND BOULEVARD and MAIN STREET, KANSAS CITY, MO, 64108
12246, GRAND BOULEVARD and PERSHING ROAD E, KANSAS CITY, MO, 64108
12247, GRAND BOULEVARD and PERSHING ROAD E, KANSAS CITY, MO, 64109
