2109, 11500 STATE LINE ROAD, KANSAS CITY, MO, 64114
2110, 1200 E LINWOOD BOULEVARD, KANSAS CITY, MO, 64111
2111, 1200 NW BARRY ROAD, KANSAS CITY, MO, 64118
2112, 12900 WORNALL ROAD, KANSAS CITY, MO, 64114
2113, 1300 E 104 STREET, KANSAS CITY, MO, 64114
2114, 1300 E BANNISTER ROAD, KANSAS CITY, MO, 64137
2115, 13100 HOLMES ROAD, KANSAS CITY, MO, 64114
2116, 13400 STATE LINE ROAD, KANSAS CITY, MO, 64145
2117, 1400 E 67 STREET, KANSAS CITY, MO, 64132
2118, 1400 E 97 STREET, KANSAS CITY, MO, 64137
2119, 1400 TOPPING AVENUE, KANSAS CITY, MO, 64126
2120, 1400 TOPPING AVENUE, KANSAS CITY, MO, 64127
2121, 14500 S US HIGHWAY 71 , KANSAS CITY, MO, 64138
2122, 1500 HOLMES STREET, KANSAS CITY, MO, 64106
2123, 1500 LOCUST STREET, KANSAS CITY, MO, 64109
2124, 1500 W 31 STREET, KANSAS CITY, MO, 64111
2125, 1500 WALNUT STREET, KANSAS CITY, MO, 64106
2126, 1600 E 12 STREET, KANSAS CITY, MO, 64106
2127, 1700 INDEPENDENCE AVENUE, KANSAS CITY, MO, 64105
2128, 1800 E 69 TERRACE, KANSAS CITY, MO, 64131
2129, 1800 N TOPPING AVENUE, KANSAS CITY, MO, 64123
2130, 2000 SPRUCE AVENUE, KANSAS CITY, MO, 64128
2131, 2100 E LINWOOD BOULEVARD, KANSAS CITY, MO, 64111
2132, 2200 E GREGORY BOULEVARD, KANSAS CITY, MO, 64131
2133, 2300 E 63 STREET, KANSAS CITY, MO, 64132
2134, 2400 E 70 STREET, KANSAS CITY, MO, 64131
2135, 2400 GRAND BOULEVARD, KANSAS CITY, MO, 64111
2136, 2500 E 68 TERRACE, KANSAS CITY, MO, 64131
2137, 2500 GRAND BOULEVARD, KANSAS CITY, MO, 64106
2138, 2600 VAN BRUNT BOULEVARD, KANSAS CITY, MO,
2139, 2800 HOLMES STREET, KANSAS CITY, MO, 64110
2140, 2900 E 39 STREET, KANSAS CITY, MO, 64130
2141, 2900 PENN VALLEY DR, KANSAS CITY, MO, 64108
2142, 300 BRIGHTON AVENUE, KANSAS CITY, MO, 64123
2143, 300 E 39 STREET, KANSAS CITY, MO, 64128
2144, 300 E 55 STREET, KANSAS CITY, MO, 64112
2145, 3000 CHERRY STREET, KANSAS CITY, MO, 64106
2146, 3000 E 20 STREET, KANSAS CITY, MO, 64126
2147, 3100 CHELSEA AVENUE, KANSAS CITY, MO, 64127
2148, 3300 BALES AVENUE, KANSAS CITY, MO, 64130
2149, 3300 PARK AVENUE, KANSAS CITY, MO, 64127
2150, 3400 HARRISON STREET, KANSAS CITY, MO, 64110
2151, 3400 MERSINGTON AVENUE, KANSAS CITY, MO, 64130
2152, 3400 PROSPECT AVENUE, KANSAS CITY, MO, 64127
2153, 3500 BENTON BOULEVARD, KANSAS CITY, MO, 64130
