nibrs_offense_code,nibrs_crime_against,nibrs_offense_cactegory,nibrs_offense_type,ofns_desc,pd_desc
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"LARCENY,GRAND FROM PERSON,UNCL"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"LARCENY,PETIT FROM OPEN AREAS,"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"THEFT OF SERVICES, UNCLASSIFIE"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,,"THEFT,RELATED OFFENSES,UNCLASS"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,GRAND LARCENY-CHECK FROM MAILB
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND BY THEFT OF CREDIT CARD"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND FROM BOAT, UNATTENDED"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND FROM PERSON,UNCL"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND FROM PIER, UNATTENDED"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND OF BICYCLE"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,GRAND LARCENY,"LARCENY,GRAND OF BOAT"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,MISCELLANEOUS PENAL LAW,THEFT OF SERVICES- CABLE TV SE
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OTHER OFFENSES RELATED TO THEF,"THEFT OF SERVICES, UNCLASSIFIE"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,OTHER OFFENSES RELATED TO THEF,"THEFT,RELATED OFFENSES,UNCLASS"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,"LARCENY,PETIT FROM BOAT"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,"
