NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,SEX OFFENSE,INDECENT EXPOSURE (ADULT VICTIM)
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OTHER OFFENSES,INDECENT EXPOSURE (JUVENILE VICTIM)
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,SEX OFFENSE,INDECENT EXPOSURE (JUVENILE VICTIM)
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OTHER OFFENSES,INDECENT EXPOSURE WITH PRIOR CONVICTION
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,SEX OFFENSE,"INDECENT EXPOSURE, PROSTITUTION RELATED"
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,SEX OFFENSE,"INDECENT EXPOSURE, W/ PRIOR CONVICTION"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,INFLICT INJURY ON COHABITEE
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),298 Destruction/Damage/Vandalism of Property (except Arson),OTHER MISCELLANEOUS,"INJURING PHONE, CABLE TV, OR OTHER LINE"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,INJURY TO RAILROADS/RAILROAD BRIDGES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,INJURY TO TELEGRAPH/TELEPHONE LINES
40B,Crimes against society,Prostitution Offenses,40B Assisting or Promoting Prostitution,PROSTITUTION,INMATE/KEEPER OF HOUSE OF PROSTITUTION
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),FRAUD,"INSURED PROPERTY, DESTRUCTION TO DEFRAUD INSURER"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"INSURED PROPERTY, DESTRUCTION TO DEFRAUD INSURER"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,"INTERFERING, W/ POLICE OFFICER"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,INTERFERRING WITH A FIREMAN
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,INTERFERRING WITH A POLICE OFFICER
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,INTOXICATED JUVENILE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,INVESTIGATIVE DETENTION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SUSPICIOUS OCC,INVESTIGATIVE DETENTION
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),298 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"JAIL PROPERTY, DESTROYING (SFPD ONLY)"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,JUDGE/JUROR ACCEPTING A BRIBE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,JUVENILE OFFENSES,JUVENILE IN DANGER OF LEADING IMMORAL LIFE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,JUVENILE INVOLVED
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,JUVENILE INVOLVED (SECONDARY CODE)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,JUVENILE PAROLE VIOLATOR
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,"JUVENILE, INTOXICATED"
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,"KIDNAPPER, POSING AS"
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OTHER MISCELLANEOUS,KIDNAPPING (ADULT VICTIM)
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OFFENCES AGAINST THE FAMILY AND CHILDREN,KIDNAPPING (JUVENILE VICTIM)
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAPPING DURING CARJACKING
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OTHER MISCELLANEOUS,KIDNAPPING DURING CARJACKING
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,KIDNAPPING DURING ROBBERY
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OTHER MISCELLANEOUS,KIDNAPPING DURING ROBBERY
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OTHER MISCELLANEOUS,KIDNAPPING FOR RANSOM OR EXTORTION
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,"KIDNAPPING, ADULT VICTIM"
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OTHER MISCELLANEOUS,"KIDNAPPING, ATTEMPTED (ADULT VICTIM)"
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,OFFENCES AGAINST THE FAMILY AND CHILDREN,"KIDNAPPING, ATTEMPTED (JUVENILE VICTIM)"
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,"KIDNAPPING, JUVENILE VICTIM"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,LABOR CODE VIOLATION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,ASSAULT,"LASERS, DISCHARGING OR LIGHTS AT AIRCRAFT"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,OTHER MISCELLANEOUS,"LEGAL INSTRUMENTS, UTTERING FALSE CHECKS, ETC. (MISD.)"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),299 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"LETTERS, OPENING SEALED"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,"LICENSE PLATE OR TAB, THEFT OF"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"LICENSE PLATE, FOUND"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"LICENSE PLATE, FOUND"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"LICENSE PLATE, LOST"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,"LICENSE PLATE, RECOVERED"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OTHER OFFENSES,"LICENSE PLATE, RECOVERED"
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,"LICENSE PLATE, STOLEN"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"LICENSE PLATE, STOLEN"
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,LICENSE REQUIRED TO SELL ALCOHOL
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,LIQUOR LAW VIOLATION (GENERAL)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,LITTERING OR DUMPING THAT CREATES TRAFFIC HAZARD
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,LOCATED EXPLOSIVE DEVICE
520,Crimes against society,Weapon Law Violations,545 Weapon Law Violations,WEAPONS CARRYING ETC,LOCATED EXPLOSIVE DEVICE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,LOCATED PROPERTY
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,LODGING IN PARK
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,LODGING IN PARK
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER MISCELLANEOUS,LODGING WITHOUT PERMISSION
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,TRESPASS,LODGING WITHOUT PERMISSION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"LODGING, REGISTERING W/FALSE NAME"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,LOITERING
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,LOITERING ABOUT SCHOOL/PLAYGROUND
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,OTHER OFFENSES,LOITERING AND PEEKING INTO INHABITED STRUCTURE
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,LOITERING AROUND PUBLIC TOILET FOR LEWD ACT
40A,Crimes against society,Prostitution Offenses,40A Prostitution,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,OFFENCES AGAINST THE FAMILY AND CHILDREN,LOITERING NEAR ATM
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DRUG OFFENSE,LOITERING WHERE NARCOTICS ARE SOLD/USED
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED
520,Crimes against society,Weapon Law Violations,520 Weapon Law Violations,WEAPON LAWS,LOITERING WHILE CARRYING CONCEALED WEAPON
520,Crimes against society,Weapon Law Violations,546 Weapon Law Violations,WEAPONS CARRYING ETC,LOITERING WHILE CARRYING CONCEALED WEAPON
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,OTHER MISCELLANEOUS,LOITERING WITHOUT LAWFUL BUSINESS WITH OWNER OR OCCUPANT
90J,Crimes against society,Trespass of Real Property,90J Trespass of Real Property,TRESPASS,LOITERING WITHOUT LAWFUL BUSINESS WITH OWNER OR OCCUPANT
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"LOITERING, OBSTRUCTING"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,LOITERS AROUND PUBLIC TOILET FOR LEWD ACT
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,LOOTING DURING STATE OF EMERGENCY
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,LOST PROPERTY,LOST PROPERTY
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,LOST PROPERTY
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT"
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE
39A,Crimes against society,Gambling Offenses,39A Betting/Wagering,GAMBLING,LOTTERIES (GENERAL)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"LOUD SPEAKERS, UNAUTHORIZED USE OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,LOUDSPEAKER OR SOUND TRUCK PERMIT VIOLATION
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,LYNCHING BY RIOT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,LYNCHING BY RIOT
520,Crimes against society,Weapon Law Violations,547 Weapon Law Violations,WEAPONS CARRYING ETC,"MACHINE GUN OR SAWED-OFF SHOTGUN, POSSESSION"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,MAINTAIN PREMISE WHERE NARCOTICS ARE SOLD/USED
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,OTHER MISCELLANEOUS,MAINTAINING A PUBLIC NUISANCE
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE AFTER NOTIFICATION
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,MALICIOUS MISCHIEF
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),300 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, ADULT SUSPECT"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, ADULT SUSPECT"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),301 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, ANNOYING/FICTITIOUS PHONE CALLS"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),302 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),303 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),304 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, BUILDING UNDER CONSTR."
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, BUILDING UNDER CONSTRUCTION"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, FICTITIOUS PHONE CALLS"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),305 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, GRAFFITI, REAL OR PERSONAL PROPERTY"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),306 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, JUVENILE SUSPECT"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, JUVENILE SUSPECT"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),307 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, STREET CARS/BUSES"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, STREET CARS/BUSES"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),308 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, TIRE SLASHING"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, TIRE SLASHING"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, VANDALISM"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),290 Destruction/Damage/Vandalism of Property (except Arson),VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),309 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, VANDALISM TO PROPERTY"
290,Crimes against property,Destruction/Damage/Vandalism of Property (except Arson),310 Destruction/Damage/Vandalism of Property (except Arson),MALICIOUS MISCHIEF,"MALICIOUS MISCHIEF, VANDALISM TO VEHICLE"
09A,Crimes against person,Homicide Offenses,09A Murder and Nonnegligent Manslaughter,HOMICIDE,"MANSLAUGHTER, VEHICULAR"
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,MANUFACTURE OR SALE OF COUNTERFEIT GOODS
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,MARIJUANA OFFENSE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"MARIJUANA, CULTIVATING/PLANTING"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"MARIJUANA, FURNISHING"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"MARIJUANA, POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"MARIJUANA, SALES"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"MARIJUANA, TRANSPORTING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MASSAGE ESTABLISHMENT PERMIT VIOLATION
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,MAYHEM WITH A DEADLY WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,MAYHEM WITH A GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,MAYHEM WITH A KNIFE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,MAYHEM WITH BODILY FORCE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,MEGAN'S LAW NOTIFICATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,MEGAN'S LAW NOTIFICATION
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,MENTAL HEALTH DETENTION
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,MERCHANDISE TITLE DOCUMENT FRAUD
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,METHADONE OFFENSE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"METHADONE, POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"METHADONE, TRANSPORTATION"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,METHAMPHETAMINE OFFENSE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"METHAMPHETAMINE, POSSESSION FOR SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"METHAMPHETAMINE, SALE"
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"METHAMPHETAMINE, TRANSPORTATION"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,,MILITARY ORDINANCE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MALICIOUS MISCHIEF,MINOR BEYOND PARENTAL CONTROL
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,MINOR ON ON-SALE LICENSED PREMISE
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,MINOR PURCHASING ALCOHOL
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MINOR PURCHASING OR RECEIVING TOBACCO PRODUCT
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",FAMILY OFFENSES,MINOR WITHOUT PROPER PARENTAL CARE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,JUVENILE OFFENSES,MINOR WITHOUT PROPER PARENTAL CARE
90F,Crimes against society,"Family Offenses, Nonviolent","90F Family Offenses, Nonviolent",OFFENCES AGAINST THE FAMILY AND CHILDREN,"MINOR, CONTRIBUTING TO DELINQUENCY OF"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,MISCELLANEOUS INVESTIGATION,MISCELLANEOUS INVESTIGATION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION
90G,Crimes against society,Liquor Law Violations (except Driving Under the Influence and Drunkenness),90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),LIQUOR LAWS,MISCELLANEOUS LIQOUR LAW VIOLATION
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MISCELLANEOUS STATE FELONY
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,NON-CRIMINAL,MISPLACED VEHICLE
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,MISSING PERSON,MISSING ADULT
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,MISSING PERSON,MISSING JUVENILE
26A,Crimes against property,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),26A False Pretenses/Swindle/Confidence Game,FRAUD,MONEY LAUNDERING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MONEY LAUNDERING
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,DRUG OFFENSE,MONEY OFFENSE RELATED TO NARCOTICS TRAFFICKING
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,DRUG/NARCOTIC,MONEY OFFENSE RELATED TO NARCOTICS TRAFFICKING
250,Crimes against property,Counterfeiting/Forgery,250 Counterfeiting/Forgery,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"MONEY, PROPERTY OR LABOR, FRAUDULENTLY OBTAINING"
280,Crimes against property,Stolen Property Offenses,280 Stolen Property Offenses,STOLEN PROPERTY,"MONEY, PROPERTY OR LABOR, FRAUDULENTLY OBTAINING"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MUNICIPAL CODE VIOLATION (GENERAL)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,MUNICIPAL POLICE CODE VIOLATION (GENERAL)
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"NARCOTICS ADDICT, FAILURE TO REGISTER"
35B,Crimes against society,Drug/Narcotic Offenses,35B Drug Equipment Violations,DRUG OFFENSE,"NARCOTICS PARAPHERNALIA, POSSESSION OF"
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,SEX OFFENSE,OBSCENE MATTER (GENERAL)
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,SEX OFFENSE,"OBSCENE MATTER, DISTRIBUTION TO MINORS"
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,"SEX OFFENSES, NON FORCIBLE","OBSCENE MATTER, DISTRIBUTION TO MINORS"
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,OTHER OFFENSES,OBSCENE MOVIES OR ACTS
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,PORNOGRAPHY/OBSCENE MAT,OBSCENE MOVIES/ACTS
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,OBSCENE OR LEWD PLAYS/PERFORMANCES
370,Crimes against society,Pornography/Obscene Material,370 Pornography/Obscene Material,PORNOGRAPHY/OBSCENE MAT,OBSCENE OR LEWD PLAYS/PERFORMANCES
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,OBSCENE PHONE CALLS(S)
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,"OBSTRUCTING HEALTH FACILITY, PLACE OF WORSHIP, OR SCHOOL"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,"OBSTRUCTING HEALTH FACILITY, PLACE OF WORSHIP, OR SCHOOL"
90B,Crimes against society,Curfew/Loitering/Vagrancy Violations,90B Curfew/Loitering/Vagrancy Violations,LOITERING,OBSTRUCTING PUBLIC THOROUGHFARE
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,OBSTRUCTING PUBLIC THOROUGHFARE  (OR 647(C) PC)
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,"OBSTRUCTIONS ON STREETS, SIDEWALKS"
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,OBSTRUCTIONS ON STREETS/SIDEWALKS
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,OPEN CONTAINER OF ALCOHOL IN VEHICLE
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,OPERATING TAXI WITHOUT A PERMIT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,OPERATING WITHOUT CABARET PERMIT
90Z,All Other Offenses,All Other Offenses,90Z All Other Offenses,OTHER OFFENSES,OPERATING WITHOUT DANCEHALL PERMIT
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,OPIATES OFFENSE
35A,Crimes against society,Drug/Narcotic Offenses,35A Drug/Narcotic Violations,DRUG OFFENSE,"OPIATES, POSSESSION FOR SALE"
