NIBRS_Offense_Code,NIBRS_Crime_Against,NIBRS_Offense_Category,NIBRS_Offense_Type,incident_category,incident_description
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ASSAULT ON A POLICE OFFICER WITH A DEADLY WEAPON
90C,Crimes against society,Disorderly Conduct,90C Disorderly Conduct,DISORDERLY CONDUCT,ASSAULT ON SCHOOL EMPLOYEE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ASSAULT OR ATTEMPTED MURDER UPON GOV'T OFFICERS
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ASSAULT TO COMMIT MAYHEM OR SPECIFIC SEX OFFENSES
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,"SEX OFFENSES, FORCIBLE",ASSAULT TO COMMIT MAYHEM OR SPECIFIC SEX OFFENSES
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,"SEX OFFENSES, FORCIBLE",ASSAULT TO RAPE WITH A DANGEROUS WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,"SEX OFFENSES, FORCIBLE",ASSAULT TO RAPE WITH A GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,"SEX OFFENSES, FORCIBLE",ASSAULT TO RAPE WITH A SHARP INSTRUMENT
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,"SEX OFFENSES, FORCIBLE",ASSAULT TO RAPE WITH BODILY FORCE
12B,Crimes against property,Robbery,12B Commercial Robbery,ROBBERY,ASSAULT TO ROB BANK WITH A GUN
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ASSAULT TO ROB ON THE STREET W/DEADLY WEAPON
12A,Crimes against property,Robbery,12A Personal Robbery,ROBBERY,ASSAULT TO ROB WITH BODILY FORCE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ASSAULT WITH CAUSTIC CHEMICALS
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, ON POLICE OFF., W/ OTHER WEAPON"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ FORCE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ FULL AUTO"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ GUN"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ KNIFE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, ON POLICE OFFICER, W/ SEMI AUTO"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, W/ FORCE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, W/ GUN"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, W/ KNIFE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, W/ MACHINE GUN"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, W/ OTHER WEAPON"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, AGGRAVATED, W/ SEMI AUTO"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. HOMICIDE, W/ FORCE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. HOMICIDE, W/ GUN"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. HOMICIDE, W/ KNIFE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. HOMICIDE, W/ OTHER WEAPON"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. MAYHEM, W/ FORCE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. MAYHEM, W/ GUN"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. MAYHEM, W/ KNIFE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, ATT. MAYHEM, W/ OTHER WEAPON"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,,"ASSAULT, COMMISSION OF WHILE ARMED"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, MAYHEM, W/ FORCE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, MAYHEM, W/ GUN"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, MAYHEM, W/ KNIFE"
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, MAYHEM, W/ OTHER WEAPON"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,"ASSAULT, NON-AGGRAVATED"
13B,Crimes against person,Assault Offenses,13B Simple Assault,ASSAULT,"ASSAULT, NON-AGGRAVATED, ATT."
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,"ASSAULT, W/ CAUSTIC CHEMICAL TO INJURE OR DISFIGURE"
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,SECONDARY CODES,ATM RELATED CRIME
99Z,Excluded cases,Excluded cases,99Z Non-Criminal Matters,OFFENCES AGAINST THE FAMILY AND CHILDREN,ATM-RELATED CRIME (SECONDARY CODE ONLY)
200,Crimes against property,Arson,200 Arson,ARSON,ATTEMPTED ARSON
23G,Crimes against property,Larceny/Theft Offenses,23G Theft of Motor Vehicle Parts or Accessories,LARCENY/THEFT,ATTEMPTED AUTO STRIP
210,Crimes against property,Extortion/Blackmail,210 Extortion/Blackmail,EXTORTION,ATTEMPTED EXTORTION
23H,Crimes against property,Larceny/Theft Offenses,23H All Other Larceny,LARCENY/THEFT,ATTEMPTED GRAND THEFT FROM PERSON
23A,Crimes against property,Larceny/Theft Offenses,23A Pocket-picking,LARCENY/THEFT,ATTEMPTED GRAND THEFT PICKPOCKET
23B,Crimes against property,Larceny/Theft Offenses,23B Purse-snatching,LARCENY/THEFT,ATTEMPTED GRAND THEFT PURSESNATCH
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED HOMICIDE BY SNIPING
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED HOMICIDE WITH A DANGEROUS WEAPON
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED HOMICIDE WITH A GUN
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED HOMICIDE WITH A KNIFE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED HOMICIDE WITH BODILY FORCE
13A,Crimes against person,Assault Offenses,13A Aggravated Assault,ASSAULT,ATTEMPTED HOMICIDE WITH EXPLOSIVES
100,Crimes against person,Kidnapping/Abduction,100 Kidnapping/Abduction,KIDNAPPING,"ATTEMPTED KIDNAPPING, ADULT VICTIM"
