NIBRS_Offense_Code,Summarized Offense Description,Offense Type,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against
99Z,METRO,"METRO TRANSIT - ON BUS, TUNNEL",99Z Non-Criminal Matters,Excluded cases,Excluded cases
35A,NARCOTICS,NARC-DISTRIBUTE-HALLUCINOGEN,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-DRUG TRAFFIC LOITERING,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35B,NARCOTICS,NARC-EQUIPMENT/PARAPHENALIA,35B Drug Equipment Violations,Drug/Narcotic Offenses,Crimes against society
250,NARCOTICS,NARC-FORGERY-PRESCRIPTION,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property
99Z,NARCOTICS,NARC-FOUND-AMPHETAMINE,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-COCAINE,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-HALLUCINOGEN,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-HEROIN,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-MARIJU,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-METH,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-OPIUM,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-OTHER,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-PILL/TABLET,99Z Non-Criminal Matters,Excluded cases,Excluded cases
99Z,NARCOTICS,NARC-FOUND-SYNTHETIC,99Z Non-Criminal Matters,Excluded cases,Excluded cases
26U,NARCOTICS,NARC-FRAUD-PRESCRIPTION,26U Other Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property
35A,NARCOTICS,NARC-MANUFACTURE-HALLUCINOGEN,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-MANUFACTURE-METH,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-MANUFACTURE-OTHER,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-AMPHETAMINE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-BARBITUATE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-COCAINE,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-HALLUCINOGEN,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-HEROIN,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
35A,NARCOTICS,NARC-POSSESS-MARIJU,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society
